OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,COMMENT.on.genus,primary_lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont,Decay_type,Fruitbody_type
OTU1171,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor mucedo,,soil_saprotroph,,,,,soil,mold,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,mold,none
OTU1172,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma tephrensis,,soil_saprotroph,,extremophile,,,soil,,non-aquatic,,,yeast,,,,,,,,
OTU1173,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Monocillium,,,litter_saprotroph,dung_saprotroph,invertebrate-associated_some_species,,,"wood,leaf/fruit/seed,soil,dung,animal_material",,,invertebrate-associated,,filamentous_mycelium,,,,,,,,
OTU1174,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Kretzschmaria,Kretzschmaria deusta,,wood_saprotroph,plant_pathogen,,,wood_pathogen,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)"
OTU1175,Fungi,Ascomycota,Dothideomycetes,,,,,,,,,,,,,,,,,,,,,,,,
OTU1176,Fungi,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU1177,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Comoclathris,,,wood_saprotroph,,,no_endophytic_capacity,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)"
OTU1178,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypomyces,Hypomyces tremellicola,,mycoparasite,fungal_decomposer,,,,fungal_material,,,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)"
OTU1180,Fungi,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU1181,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Dothiorella,Dothiorella sarmentorum,,plant_pathogen,litter_saprotroph,,foliar_endophyte,leaf/fruit/seed_pathogen,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,,,,,,,,
OTU1185,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypomyces,Hypomyces rosellus,,mycoparasite,fungal_decomposer,,,,fungal_material,,,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)"
OTU1186,Fungi,Ascomycota,Leotiomycetes,Helotiales,Tympanidaceae,,,,,,,,,,,,,,,,,,,,,,
OTU1187,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,,,,,,,,,,,,,,,,,,,,,,
OTU1188,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Sporothrix,Sporothrix stenoceras,,plant_pathogen,wood_saprotroph,,foliar_endophyte,wood_pathogen,wood,,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,,none
OTU1190,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Clypeosphaeria,,,litter_saprotroph,wood_saprotroph,,,,"wood,leaf/fruit/seed",,partly_freshwater_(partly_non-aquatic),,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)"
OTU1191,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,,unspecified_saprotroph,foliar_endophyte,hypervariable,foliar_endophyte,,"leaf/fruit/seed,soil,dung,animal_material",,partly_aquatic,animal-associated/opportunistic_human_parasite,,yeast,,,,,,,,
OTU1192,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,,,animal_parasite,litter_saprotroph,,root_endophyte_dark_septate,root-associated,"leaf/fruit/seed,animal_material",,partly_aquatic,animal_parasite/opportunistic_human_parasite,,dimorphic_yeast,,,,,,,,
OTU1193,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,,,soil_saprotroph,root_endophyte_dark_septate,"mycoparasite_some_species,animal_pathogen_some_species",root_endophyte_dark_septate,,soil,,non-aquatic,animal_parasite/opportunistic_human_parasite,,dimorphic_yeast,,,,,,,,
OTU1194,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none
OTU1195,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,,,,,,,,,,,,,,,,,,,,
OTU1196,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,,,,,,,,,,,,,,,,,,,,,,
OTU1197,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Xanthophyllomyces,Xanthophyllomyces dendrorhous,,unspecified_saprotroph,,,,,,,non-aquatic,,,yeast,none,none,,,,,,none
OTU1198,Fungi,Ascomycota,,,,,,,,,,,,,,,,,,,,,,,,,
OTU1199,Fungi,Ascomycota,,,,,,,,,,,,,,,,,,,,,,,,,
OTU1200,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Capronia,Capronia leucadendri,,soil_saprotroph,root_endophyte_dark_septate,"mycoparasite_some_species,animal_pathogen_some_species",root_endophyte_dark_septate,,soil,,partly_aquatic,animal_parasite/opportunistic_human_parasite,,dimorphic_yeast,,,,,,,,
OTU1201,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Typhulaceae,Typhula,,,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed_pathogen,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,clavarioid,smooth,,,,,,clavarioid
OTU1202,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae,,unspecified_saprotroph,,,,,,,partly_aquatic,opportunistic_human_parasite,,dimorphic_yeast,none,none,,,,,,none
OTU1203,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,,,,,,,,,,,,,,,,,,,,,,
OTU1204,Fungi,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU1205,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,,,,,,,,,,,,,,,,,,,,
OTU1206,Fungi,Basidiomycota,Microbotryomycetes,Microbotryales,Ustilentylomataceae,Microbotryozyma,,,animal_parasite,animal_decomposer,,,,animal_material,,non-aquatic,arthropod_parasite,,yeast,,,,,,,,
OTU1207,Fungi,Ascomycota,Pezizomycetes,Pezizales,,,,,,,,,,,,,,,,,,,,,,,
OTU1208,Fungi,Ascomycota,Eurotiomycetes,Phaeomoniellales,Phaeomoniellaceae,,,,,,,,,,,,,,,,,,,,,,
OTU1209,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Veronaea,,,plant_pathogen,litter_saprotroph,dung_saprotroph_some_species,,leaf/fruit/seed_pathogen,leaf/fruit/seed,,non-aquatic,opportunistic_animal_parasite,,dimorphic_yeast,,,,,,,,
OTU1211,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,,,unspecified_saprotroph,foliar_endophyte,hypervariable,foliar_endophyte,leaf/fruit/seed_pathogen,"leaf/fruit/seed,soil,dung,animal_material",,non-aquatic,animal_parasite,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,,"cleistothecium_(closed,_spherical)"
OTU1212,Fungi,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,,,,,,,,,,,,,,,,,,,,,,
OTU1213,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,Clitopilus baronii,,litter_saprotroph,,mycoparasite_some_species,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid
OTU1215,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,,,soil_saprotroph,root_endophyte_dark_septate,"mycoparasite_some_species,animal_pathogen_some_species",root_endophyte_dark_septate,,soil,,non-aquatic,animal_parasite/opportunistic_human_parasite,,dimorphic_yeast,,,,,,,,
OTU1216,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,,,soil_saprotroph,root_endophyte_dark_septate,"mycoparasite_some_species,animal_pathogen_some_species",root_endophyte_dark_septate,,soil,,non-aquatic,animal_parasite/opportunistic_human_parasite,,dimorphic_yeast,,,,,,,,
OTU1217,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Physciaceae,Physcia,,,lichenized,,,,,,,non-aquatic,,,thallus_photosynthetic,apothecium_(hymenium_on_surface),smooth,,,chlorococcoid,,,apothecium_(hymenium_on_surface)
OTU1218,Fungi,Ascomycota,Lecanoromycetes,,,,,,,,,,,,,,,,,,,,,,,,
OTU1219,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium elegans,,unspecified_saprotroph,,,,,,,partly_aquatic,opportunistic_human_parasite,,dimorphic_yeast,none,none,,,,,,none
OTU1220,Fungi,Basidiomycota,,,,,,,,,,,,,,,,,,,,,,,,,
OTU1221,Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,,,soil_saprotroph,root_endophyte,ericoid_mycorrhizal_O._maius,root_endophyte,root-associated,soil,,partly_aquatic,,,filamentous_mycelium,,,,,,,,
OTU1222,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,Emmonsiellopsis,,,soil_saprotroph,,,,,soil,,non-aquatic,,,filamentous_mycelium,,,,,,,,
OTU1223,Fungi,Ascomycota,Lecanoromycetes,Ostropales,,,,,,,,,,,,,,,,,,,,,,,
OTU1224,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Auxarthron,Auxarthron umbrinum,,soil_saprotroph,animal_decomposer,,,,"soil,animal_material",keratinolytic,non-aquatic,,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,keratinolytic,"cleistothecium_(closed,_spherical)"
OTU1225,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaeta,,,wood_saprotroph,,,,,wood,soft_rot,,,,filamentous_mycelium,,,,,,,soft_rot,
OTU1226,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Leuconeurospora,,,dung_saprotroph,,,,,dung,,non-aquatic,animal-associated,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,,"cleistothecium_(closed,_spherical)"
OTU1228,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,,,,,,,,,,,,,,,,,,,,
OTU1229,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,,,,,,,,,,,,,,,,,,,,
OTU1230,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,,,,,,,,,,,,,,,,,,,,
OTU1231,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Extremaceae,Petrophila,,,unspecified_saprotroph,rock-inhabiting,,,,soil,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)"
OTU1232,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Paecilomyces,,,foliar_endophyte,litter_saprotroph,,foliar_endophyte,,"leaf/fruit/seed,animal_material",soft_rot,partly_aquatic,invertebrate_parasite,,filamentous_mycelium,,,,,,,soft_rot,
OTU1233,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,,,dung_saprotroph,,,,,dung,,partly_aquatic,,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,,"cleistothecium_(closed,_spherical)"
OTU1234,Fungi,Rozellomycota,,,,,,,,,,,,,,,,,,,,,,,,,
OTU1235,Fungi,Ascomycota,,,,,,,,,,,,,,,,,,,,,,,,,
OTU1236,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Polycauliona,,,lichenized,,,,,,,non-aquatic,,,thallus_photosynthetic,apothecium_(hymenium_on_surface),smooth,,,chlorococcoid,,,apothecium_(hymenium_on_surface)
OTU1238,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus sclerocystidiosus,,soil_saprotroph,,,,,soil,,partly_aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid
OTU1239,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Powellomycetaceae,,,,,,,,,,,,,,,,,,,,,,
OTU1240,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,,,soil_saprotroph,epiphyte,,,,soil,,partly_aquatic,,,yeast,none,none,,,,,,none
OTU1241,Fungi,Ascomycota,,,,,,,,,,,,,,,,,,,,,,,,,
OTU1242,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Heterocephalacria,Heterocephalacria arrabidensis,,lichen_parasite,fungal_decomposer,,,,"fungal_material,algal_material",,partly_aquatic,,,yeast,none,none,,,,,,none
OTU1243,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Keithomyces,Keithomyces carneus,,,,,,,,,,,,,,,,,,,,
OTU1244,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,,,,,,,,,,,,,,,,,,,,,,
OTU1245,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Arachnopeziza,,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,,,,,,apothecium_(hymenium_on_surface)
OTU1246,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,Acremonium,Acremonium sclerotigenum,,unspecified_saprotroph,foliar_endophyte,hypervariable,foliar_endophyte,leaf/fruit/seed_pathogen,"leaf/fruit/seed,soil,dung,animal_material",soft_rot,partly_aquatic,,,filamentous_mycelium,,,,,,,soft_rot,
OTU1247,Fungi,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU1248,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Amauroascus,Amauroascus verrucosus,,soil_saprotroph,animal_decomposer,,,,"soil,animal_material",keratinolytic,non-aquatic,,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,keratinolytic,"cleistothecium_(closed,_spherical)"
OTU1249,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,,,soil_saprotroph,root_endophyte_dark_septate,"mycoparasite_some_species,animal_pathogen_some_species",root_endophyte_dark_septate,,soil,,non-aquatic,animal_parasite/opportunistic_human_parasite,,dimorphic_yeast,,,,,,,,
OTU1250,Fungi,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU1251,Fungi,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU1253,Fungi,Basidiomycota,Agaricomycetes,,,,,,,,,,,,,,,,,,,,,,,,
OTU1254,Fungi,Basidiomycota,Cystobasidiomycetes,,,,,,,,,,,,,,,,,,,,,,,,
OTU1255,Fungi,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU1256,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,Peziza varia,,soil_saprotroph,foliar_endophyte,ectomycorrhizal_many_species_in_several_lineages,foliar_endophyte,,soil,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,,,,,,apothecium_(hymenium_on_surface)
OTU1257,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis sclerotiorum,,soil_saprotroph,,,,,soil,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid
OTU1258,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,,,,,,,,,,,,,,,,,,,,
OTU1259,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,,,,,,,,,,,,,,,,,,,,,,,
OTU1260,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus curtus,,soil_saprotroph,,,,,soil,,partly_aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid
OTU1261,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Inonotus,Inonotus vitis,,wood_saprotroph,plant_pathogen,,,wood_pathogen,wood,white_rot,non-aquatic,,,filamentous_mycelium,polyporoid,poroid,,,,,white_rot,polyporoid
OTU1262,Fungi,Ascomycota,Eurotiomycetes,Onygenales,,,,,,,,,,,,,,,,,,,,,,,
OTU1263,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Auxarthron,,,soil_saprotroph,animal_decomposer,,,,"soil,animal_material",keratinolytic,non-aquatic,,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,keratinolytic,"cleistothecium_(closed,_spherical)"
OTU1264,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Sphaerostilbella,Sphaerostilbella aureonitens,,mycoparasite,fungal_decomposer,,,,fungal_material,,,,Stereum,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)"
